2022-09-07 22:13:45,1,1,-75,-75
2022-09-07 22:13:53,2,1,-76,-75
2022-09-07 22:14:01,3,1,-73,-75
2022-09-07 22:14:09,4,1,-68,-73
2022-09-07 22:14:17,5,1,-65,-72
2022-09-07 22:14:25,6,1,-68,-71
2022-09-07 22:14:41,8,1,-68,-70
2022-09-07 22:14:49,9,1,-75,-71
2022-09-07 22:14:57,10,1,-74,-71
2022-09-07 22:15:05,11,1,-71,-71
2022-09-07 22:18:26,1,1,-59,-59
2022-09-07 22:18:34,2,1,-59,-59
2022-09-07 22:18:50,4,1,-64,-62
2022-09-07 22:19:06,6,1,-58,-60
2022-09-07 22:19:14,7,1,-59,-60
2022-09-07 22:19:22,8,1,-56,-60
2022-09-07 22:19:30,9,1,-58,-59
2022-09-07 22:19:38,10,1,-57,-59
2022-09-07 22:19:54,12,1,-57,-59
2022-09-07 22:20:02,13,1,-58,-58
2022-09-07 22:20:10,14,3,-63,-63
2022-09-07 22:20:10,14,1,-55,-58
2022-09-07 22:20:18,15,1,-60,-58
2022-09-07 22:20:18,15,3,-59,-62
2022-09-07 22:20:26,16,1,-51,-58
2022-09-07 22:20:26,16,3,-59,-61
2022-09-07 22:20:34,17,1,-57,-58
2022-09-07 22:20:34,17,3,-56,-60
2022-09-07 22:20:42,18,3,-55,-59
2022-09-07 22:20:50,19,3,-55,-58
2022-09-07 22:20:50,19,1,-67,-60
2022-09-07 22:20:58,20,3,-55,-58
2022-09-07 22:20:58,20,1,-68,-61
2022-09-07 22:21:06,21,1,-66,-61
2022-09-07 22:21:06,21,3,-56,-58
2022-09-07 22:21:14,22,1,-61,-61
2022-09-07 22:21:14,22,3,-54,-57
